Designator,Footprint,Quantity,Value,LCSC Part #
C1,0402,1,4.7u,C23733
"C10, C7",0402,2,10n,C15195
C11,0603,1,330n,C159798
"C13, C14, C18, C19, C22, C23, C26, C27, C28, C30, C8, C9",0402,12,1u,C52923
C15,0402,1,100n,C1525
C16,0402,1,10u,C15525
C17,0402,1,22u,C415703
"C20, C32, C33, C34, C35, C36, C37, C38, C6",0402,9,100n,C307331
"C21, C31",0402,2,10p,C32949
D16,D_SMA,1,D,C5140034
"D3, D4, D5",0603,3,red,C2286
D7,0603,1,red,
F1,0603,1,3A,C311062
FB1,0603,1,120R,C14709
"R10, R11, R13, R14, R17, R4, R5, R6, R7, R9",0402,10,10k,C25744
"R12, R15, R16, R2, R25, R3",0402,6,1k,C11702
"R41, R46, R47",0402,3,22,C25092
R8,0402,1,100k,C25741
TP_3V3,TestPoint_Pad_D1.5mm,1,3V3,
TP_5V1,TestPoint_Pad_D1.5mm,1,5V,
TP_CAN_H1,TestPoint_Pad_D1.5mm,1,CAN_H,
TP_CAN_L1,TestPoint_Pad_D1.5mm,1,CAN_L,
U1,TO-252-2,1,L7805,
U11,SOT-563,1,TPD4E1U06,C527516
U16,SOIC-8_3.9x4.9mm_P1.27mm,1,MCP2562-E-SN,C191417
U3,LQFP-64_10x10mm_P0.5mm,1,STM32F105RCTx,C8345
U5,SOT-223-3_TabPin2,1,AZ1117-3.3,C92102
Y1,Crystal_SMD_5032-4Pin_5.0x3.2mm,1,8MHz 12pF,C2149245
